name,latitude,longitude,total_price,nights,bedrooms,bathrooms,area_m2,rating,reviews_count,amenities
Central Park Residence,46.7712,23.6236,2520,7,1,1,42,9.6,214,wifi|parking|balcony|ac|elevator
Iulius Lake Apartments,46.7785,23.6301,2660,7,1,1,48,9.7,189,wifi|parking|balcony|ac
Cluj City View Studio,46.7691,23.6102,1750,7,1,1,30,9.2,96,wifi|balcony
Avram Iancu Suites,46.7744,23.6188,2240,7,1,1,40,9.4,143,wifi|elevator|ac
Gruia Panorama Loft,46.7861,23.6023,2030,7,1,1,38,9.3,88,wifi|balcony|ac
Viva City Apartment,46.7813,23.6355,2940,7,1,1,55,9.8,310,wifi|parking|balcony|elevator|ac
Sigma Residence Studio,46.7689,23.6421,1610,7,1,1,28,8.9,45,wifi
Platinia Smart Stay,46.7892,23.5988,2800,7,1,1,50,9.6,201,wifi|parking|elevator|ac
Buna Ziua Comfort Studio,46.7604,23.6512,1680,7,1,1,32,9.0,52,wifi|balcony
Gheorgheni Urban Flat,46.7923,23.6274,2380,7,1,1,46,9.5,172,wifi|parking|ac
